datetime,open,high,low,close,tick_volume,spread
01-01-2023 22:00:00,1.0691,1.06939,1.06833,1.0688,87,196
01-01-2023 22:30:00,1.06877,1.06882,1.06786,1.06814,473,213
01-01-2023 23:00:00,1.06881,1.06956,1.06827,1.06953,240,96
01-01-2023 23:30:00,1.06954,1.07009,1.06916,1.07009,179,74
02-01-2023 00:00:00,1.07005,1.07044,1.06965,1.06978,133,44
02-01-2023 00:30:00,1.06995,1.07068,1.06931,1.07049,493,36
02-01-2023 01:00:00,1.07051,1.07078,1.07043,1.07046,60,37
02-01-2023 01:30:00,1.07049,1.07049,1.06943,1.06966,189,35
02-01-2023 02:00:00,1.0697,1.0697,1.06856,1.06906,101,40
02-01-2023 02:30:00,1.06905,1.06913,1.06886,1.06908,28,83
02-01-2023 03:00:00,1.06907,1.06911,1.06902,1.0691,29,79
02-01-2023 03:30:00,1.06911,1.06987,1.06868,1.06909,73,78
02-01-2023 04:00:00,1.06906,1.06989,1.0689899999999999,1.06982,207,81
02-01-2023 04:30:00,1.06981,1.06986,1.06978,1.06986,24,72
02-01-2023 05:00:00,1.06987,1.06987,1.06857,1.06896,122,72
02-01-2023 05:30:00,1.06897,1.0697,1.06862,1.06928,168,72
02-01-2023 06:00:00,1.06929,1.06965,1.0689899999999999,1.06907,166,70
02-01-2023 06:30:00,1.06908,1.06937,1.06709,1.06864,278,70
02-01-2023 07:00:00,1.06856,1.06909,1.06698,1.06795,687,31
02-01-2023 07:30:00,1.06771,1.06845,1.06627,1.06771,1052,26
02-01-2023 08:00:00,1.06779,1.06793,1.06689,1.0674,281,26
02-01-2023 08:30:00,1.06739,1.06948,1.06727,1.06758,367,50
02-01-2023 09:00:00,1.06756,1.06954,1.06755,1.06803,659,77
02-01-2023 09:30:00,1.06804,1.06809,1.06734,1.06753,318,75
02-01-2023 10:00:00,1.06751,1.06859,1.06745,1.06785,226,76
02-01-2023 10:30:00,1.06787,1.06835,1.06698,1.06787,173,77
02-01-2023 11:00:00,1.06785,1.06804,1.06755,1.06771,148,102
02-01-2023 11:30:00,1.06772,1.06814,1.06752,1.06796,96,102
02-01-2023 12:00:00,1.06795,1.06819,1.06719,1.06791,149,102
02-01-2023 12:30:00,1.06792,1.06819,1.0674,1.06774,215,102
02-01-2023 13:00:00,1.06772,1.06809,1.06745,1.06791,244,101
02-01-2023 13:30:00,1.06793,1.06802,1.06725,1.06736,204,101
02-01-2023 14:00:00,1.06738,1.06769,1.06738,1.06759,141,101
02-01-2023 14:30:00,1.06762,1.06762,1.06657,1.06675,183,101
02-01-2023 15:00:00,1.06675,1.06689,1.06601,1.06617,197,102
02-01-2023 15:30:00,1.06615,1.06636,1.06539,1.06553,247,101
02-01-2023 16:00:00,1.06552,1.06648,1.06483,1.06488,420,101
02-01-2023 16:30:00,1.0648900000000001,1.06521,1.06462,1.06499,247,103
02-01-2023 17:00:00,1.065,1.06569,1.06499,1.06547,293,105
02-01-2023 17:30:00,1.06545,1.06564,1.06541,1.06555,201,105
02-01-2023 18:00:00,1.06553,1.06559,1.06467,1.06467,247,102
02-01-2023 18:30:00,1.06468,1.06504,1.06468,1.06475,172,106
02-01-2023 19:00:00,1.06474,1.06493,1.06453,1.06483,169,103
02-01-2023 19:30:00,1.06485,1.06546,1.0647199999999999,1.06521,131,105
02-01-2023 20:00:00,1.06519,1.06581,1.06511,1.06554,285,107
02-01-2023 20:30:00,1.06552,1.06637,1.06552,1.06589,636,126
02-01-2023 21:00:00,1.06588,1.0666,1.06581,1.06605,299,128
02-01-2023 21:30:00,1.06602,1.0661100000000001,1.06477,1.06523,112,141
02-01-2023 22:00:00,1.06523,1.06545,1.06512,1.06537,49,237
02-01-2023 22:30:00,1.06513,1.06572,1.06509,1.06551,79,167
02-01-2023 23:00:00,1.06601,1.06776,1.06405,1.06591,1064,107
02-01-2023 23:30:00,1.06589,1.06722,1.06576,1.06714,839,104
03-01-2023 00:00:00,1.0671599999999999,1.06732,1.06634,1.06669,581,38
03-01-2023 00:30:00,1.06667,1.06747,1.0666,1.06703,470,6
03-01-2023 01:00:00,1.06702,1.0674,1.06549,1.0656,1877,5
03-01-2023 01:30:00,1.06558,1.06597,1.06503,1.06596,1113,5
03-01-2023 02:00:00,1.06595,1.06674,1.06575,1.06662,693,5
03-01-2023 02:30:00,1.0666,1.06775,1.06658,1.06764,975,5
03-01-2023 03:00:00,1.06765,1.06784,1.06688,1.06717,797,5
03-01-2023 03:30:00,1.06719,1.06762,1.06709,1.0672,482,5
03-01-2023 04:00:00,1.06722,1.06798,1.06706,1.0678,480,5
03-01-2023 04:30:00,1.0678,1.06799,1.06669,1.06671,489,5
03-01-2023 05:00:00,1.06671,1.06705,1.06597,1.06633,704,5
03-01-2023 05:30:00,1.06633,1.06656,1.06589,1.06634,761,5
03-01-2023 06:00:00,1.06634,1.06676,1.06601,1.06627,772,5
03-01-2023 06:30:00,1.06625,1.06628,1.06513,1.0652,1067,5
03-01-2023 07:00:00,1.06522,1.0657,1.06497,1.06566,1213,5
03-01-2023 07:30:00,1.06565,1.06584,1.06198,1.06234,2127,5
03-01-2023 08:00:00,1.06236,1.0628,1.05696,1.05759,4966,5
03-01-2023 08:30:00,1.0576,1.05795,1.05506,1.05516,3707,5
03-01-2023 09:00:00,1.05514,1.05541,1.05339,1.05478,4113,5
03-01-2023 09:30:00,1.05479,1.05607,1.05433,1.05474,2417,5
03-01-2023 10:00:00,1.05476,1.05547,1.0535,1.05375,2054,5
03-01-2023 10:30:00,1.05374,1.05455,1.05253,1.05307,1898,5
03-01-2023 11:00:00,1.05304,1.05326,1.05194,1.05261,1412,5
03-01-2023 11:30:00,1.05263,1.05357,1.05252,1.0528,1185,5
03-01-2023 12:00:00,1.05282,1.05398,1.05238,1.05397,1253,5
03-01-2023 12:30:00,1.05395,1.05489,1.05347,1.05354,1351,5
03-01-2023 13:00:00,1.05353,1.05592,1.05304,1.05553,2422,5
03-01-2023 13:30:00,1.05555,1.05695,1.05537,1.05599,2249,5
03-01-2023 14:00:00,1.05596,1.05741,1.05551,1.05714,1746,5
03-01-2023 14:30:00,1.05712,1.05971,1.05667,1.0574,3690,5
03-01-2023 15:00:00,1.05742,1.05818,1.05642,1.05684,3624,5
03-01-2023 15:30:00,1.05682,1.05725,1.05545,1.05551,3237,5
03-01-2023 16:00:00,1.05553,1.05565,1.05372,1.05546,2268,5
03-01-2023 16:30:00,1.05548,1.05584,1.05399,1.05578,2180,5
03-01-2023 17:00:00,1.05577,1.05588,1.055,1.05518,1187,5
03-01-2023 17:30:00,1.0552,1.05536,1.05399,1.05461,1028,5
03-01-2023 18:00:00,1.0546,1.05563,1.0543,1.0556,878,5
03-01-2023 18:30:00,1.05558,1.05605,1.05533,1.05564,791,5
03-01-2023 19:00:00,1.05564,1.05617,1.05551,1.05614,763,5
03-01-2023 19:30:00,1.05614,1.05681,1.05584,1.05662,1044,5
03-01-2023 20:00:00,1.05663,1.05685,1.05561,1.05611,982,5
03-01-2023 20:30:00,1.05613,1.05637,1.05505,1.05512,707,5
03-01-2023 21:00:00,1.05514,1.05537,1.05474,1.05497,346,5
03-01-2023 21:30:00,1.05496,1.05512,1.05448,1.05448,324,5
03-01-2023 22:00:00,1.05468,1.0547,1.05455,1.05468,33,25
03-01-2023 22:30:00,1.05469,1.05474,1.05455,1.05471,379,25
03-01-2023 23:00:00,1.05469,1.05532,1.05397,1.05438,369,25
03-01-2023 23:30:00,1.05432,1.05466,1.05412,1.05454,205,6
04-01-2023 00:00:00,1.05455,1.05573,1.05451,1.05556,644,6
04-01-2023 00:30:00,1.05558,1.05609,1.05556,1.05579,491,6
04-01-2023 01:00:00,1.05581,1.05653,1.05569,1.05615,800,5
04-01-2023 01:30:00,1.05616,1.05692,1.05605,1.05666,906,5
04-01-2023 02:00:00,1.05664,1.0569,1.0564,1.05674,692,5
04-01-2023 02:30:00,1.05674,1.05691,1.05613,1.05647,567,5
04-01-2023 03:00:00,1.05647,1.0569,1.05647,1.05676,461,5
04-01-2023 03:30:00,1.05675,1.05695,1.05667,1.05687,352,5
04-01-2023 04:00:00,1.05686,1.05696,1.05657,1.05669,307,5
04-01-2023 04:30:00,1.05671,1.05741,1.05658,1.05728,496,5
04-01-2023 05:00:00,1.05728,1.05782,1.05664,1.05682,850,5
04-01-2023 05:30:00,1.05683,1.05708,1.05644,1.05689,592,5
04-01-2023 06:00:00,1.0569,1.05747,1.05662,1.05731,657,5
04-01-2023 06:30:00,1.05732,1.05732,1.05594,1.057,901,5
04-01-2023 07:00:00,1.05699,1.05859,1.05668,1.05842,1537,5
04-01-2023 07:30:00,1.05844,1.06056,1.05844,1.05936,2422,5
04-01-2023 08:00:00,1.05938,1.06305,1.05901,1.06214,4299,5
04-01-2023 08:30:00,1.06215,1.06353,1.0608,1.06154,3393,5
04-01-2023 09:00:00,1.06155,1.06259,1.06052,1.06251,1915,5
04-01-2023 09:30:00,1.06253,1.06297,1.06106,1.06106,1688,5
04-01-2023 10:00:00,1.06105,1.06193,1.06082,1.06144,1063,5
04-01-2023 10:30:00,1.06147,1.06225,1.06147,1.06204,1178,5
04-01-2023 11:00:00,1.06203,1.06242,1.06099,1.06108,934,5
04-01-2023 11:30:00,1.06109,1.06112,1.06021,1.06042,1055,5
04-01-2023 12:00:00,1.06044,1.06109,1.06003,1.06032,1129,5
04-01-2023 12:30:00,1.06033,1.061,1.05985,1.0607,1347,5
04-01-2023 13:00:00,1.06071,1.06141,1.05948,1.06133,1903,5
04-01-2023 13:30:00,1.06134,1.06193,1.06082,1.06104,2006,5
04-01-2023 14:00:00,1.06103,1.06183,1.06021,1.06121,1977,5
04-01-2023 14:30:00,1.06123,1.06282,1.06052,1.06218,2430,5
04-01-2023 15:00:00,1.06216,1.06225,1.0581,1.05979,6140,5
04-01-2023 15:30:00,1.05981,1.06078,1.05848,1.06031,4117,5
04-01-2023 16:00:00,1.06033,1.06104,1.05926,1.06075,2570,5
04-01-2023 16:30:00,1.06076,1.06205,1.06039,1.06185,2042,5
04-01-2023 17:00:00,1.06186,1.06197,1.06073,1.06093,1196,5
04-01-2023 17:30:00,1.06091,1.06173,1.06046,1.06071,1090,5
04-01-2023 18:00:00,1.0607,1.06126,1.0599,1.05992,1062,5
04-01-2023 18:30:00,1.05994,1.06048,1.05952,1.05984,1048,5
04-01-2023 19:00:00,1.05985,1.06064,1.05851,1.05976,4225,5
04-01-2023 19:30:00,1.05974,1.06065,1.05964,1.06054,1707,5
04-01-2023 20:00:00,1.06052,1.06099,1.06013,1.06048,1345,5
04-01-2023 20:30:00,1.06049,1.06084,1.0601,1.06031,956,5
04-01-2023 21:00:00,1.06032,1.06078,1.06008,1.0606,335,5
04-01-2023 21:30:00,1.0606,1.06072,1.06012,1.06013,287,5
04-01-2023 22:00:00,1.06025,1.0604,1.06014,1.0604,40,25
04-01-2023 22:30:00,1.06027,1.06065,1.06022,1.06058,228,25
04-01-2023 23:00:00,1.06064,1.06067,1.06017,1.06044,250,25
04-01-2023 23:30:00,1.06041,1.06101,1.0604,1.06063,138,6
05-01-2023 00:00:00,1.06061,1.06257,1.06029,1.06257,812,6
05-01-2023 00:30:00,1.06259,1.0630600000000001,1.06175,1.06291,945,6
05-01-2023 01:00:00,1.06289,1.06313,1.06229,1.06232,928,5
05-01-2023 01:30:00,1.0623,1.06243,1.06184,1.06202,864,5
05-01-2023 02:00:00,1.062,1.062,1.06094,1.061,858,5
05-01-2023 02:30:00,1.06099,1.06195,1.06089,1.06175,628,5
05-01-2023 03:00:00,1.06175,1.06194,1.06114,1.06118,598,5
