datetime,open,high,low,close,tick_volume,spread
02-01-2023 23:00:00,1826.329,1830.629,1824.163,1828.103,1380,537
02-01-2023 23:30:00,1828.023,1829.288,1826.938,1829.288,1005,521
03-01-2023 00:00:00,1829.267,1831.998,1828.626,1831.181,1259,522
03-01-2023 00:30:00,1831.183,1831.907,1830.137,1830.648,1083,207
03-01-2023 01:00:00,1830.597,1832.395,1826.809,1828.114,2255,207
03-01-2023 01:30:00,1828.164,1830.551,1826.884,1828.515,2553,125
03-01-2023 02:00:00,1828.548,1831.02,1828.297,1830.465,2118,125
03-01-2023 02:30:00,1830.462,1839.76,1830.429,1838.366,2975,125
03-01-2023 03:00:00,1838.398,1843.116,1838.398,1841.612,2412,125
03-01-2023 03:30:00,1841.64,1842.148,1840.482,1841.188,1810,125
03-01-2023 04:00:00,1841.191,1842.068,1840.562,1841.158,1371,125
03-01-2023 04:30:00,1841.124,1842.103,1840.293,1840.351,1371,125
03-01-2023 05:00:00,1840.348,1841.133,1837.974,1838.102,1744,125
03-01-2023 05:30:00,1838.099,1840.944,1838.088,1840.374,2071,125
03-01-2023 06:00:00,1840.414,1844.258,1840.334,1841.92,2247,125
03-01-2023 06:30:00,1841.892,1842.289,1840.024,1841.974,1931,125
03-01-2023 07:00:00,1842.007,1847.644,1841.054,1847.252,2751,125
03-01-2023 07:30:00,1847.269,1849.959,1844.725,1847.501,3268,125
03-01-2023 08:00:00,1847.532,1848.009,1838.757,1840.576,4523,125
03-01-2023 08:30:00,1840.616,1840.649,1834.553,1836.124,3879,125
03-01-2023 09:00:00,1836.155,1841.423,1834.798,1841.354,3520,125
03-01-2023 09:30:00,1841.376,1841.926,1837.658,1838.83,3029,125
03-01-2023 10:00:00,1838.82,1839.378,1837.599,1837.985,2521,125
03-01-2023 10:30:00,1837.99,1838.258,1833.717,1834.445,2535,125
03-01-2023 11:00:00,1834.475,1834.839,1831.67,1833.172,2481,125
03-01-2023 11:30:00,1833.136,1833.54,1830.836,1833.195,2397,125
03-01-2023 12:00:00,1833.164,1835.582,1831.739,1835.374,2480,125
03-01-2023 12:30:00,1835.409,1836.369,1833.713,1834.568,2212,125
03-01-2023 13:00:00,1834.599,1840.43,1834.19,1838.887,4128,125
03-01-2023 13:30:00,1838.921,1841.031,1837.028,1838.892,3740,125
03-01-2023 14:00:00,1838.862,1841.367,1836.71,1841.238,3105,125
03-01-2023 14:30:00,1841.236,1849.814,1839.441,1844.885,6852,125
03-01-2023 15:00:00,1844.879,1845.411,1832.596,1833.609,6233,125
03-01-2023 15:30:00,1833.578,1833.99,1827.59,1833.226,5928,125
03-01-2023 16:00:00,1833.208,1834.171,1828.234,1829.984,4262,125
03-01-2023 16:30:00,1830.015,1834.323,1828.544,1834.323,3605,125
03-01-2023 17:00:00,1834.293,1837.812,1834.022,1837.355,2940,125
03-01-2023 17:30:00,1837.325,1839.298,1836.824,1839.298,2621,125
03-01-2023 18:00:00,1839.265,1840.218,1837.429,1840.103,2767,125
03-01-2023 18:30:00,1840.133,1840.181,1838.003,1838.84,2229,125
03-01-2023 19:00:00,1838.872,1839.236,1836.556,1837.103,1935,125
03-01-2023 19:30:00,1837.133,1839.239,1836.552,1839.074,2022,125
03-01-2023 20:00:00,1839.082,1839.584,1837.455,1838.424,1929,125
03-01-2023 20:30:00,1838.393,1838.773,1836.67,1838.159,1971,125
03-01-2023 21:00:00,1838.172,1839.391,1837.793,1839.391,1164,125
03-01-2023 21:30:00,1839.389,1839.89,1838.983,1839.608,864,125
03-01-2023 23:00:00,1838.755,1839.228,1837.36,1838.03,1157,125
03-01-2023 23:30:00,1837.999,1838.048,1836.522,1836.559,963,125
04-01-2023 00:00:00,1836.539,1839.016,1836.222,1837.801,1581,125
04-01-2023 00:30:00,1837.845,1839.228,1837.554,1838.663,1280,125
04-01-2023 01:00:00,1838.68,1840.484,1838.202,1839.967,2042,125
04-01-2023 01:30:00,1839.938,1844.51,1839.238,1844.322,2301,125
04-01-2023 02:00:00,1844.355,1845.741,1843.467,1844.427,2040,125
04-01-2023 02:30:00,1844.456,1846.075,1844.075,1845.799,1668,125
