,datetime,open,open_spread,unreal_pnl,nav,sum_cf
0,2023-01-02 23:00:00,1826.329,1826.866,0.0,1000.0,0.0
1,2023-01-02 23:30:00,1828.023,1828.5439999999999,1.16,1002.31,1.16
2,2023-01-03 00:00:00,1829.267,1829.789,0.72,1002.6,1.88
3,2023-01-03 00:30:00,1831.183,1831.39,1.39,1004.67,3.27
4,2023-01-03 01:00:00,1830.597,1830.804,-0.79,1002.48,3.27
5,2023-01-03 01:30:00,1828.164,1828.289,-5.87,997.41,3.27
6,2023-01-03 02:00:00,1828.548,1828.673,-4.84,998.69,3.53
7,2023-01-03 02:30:00,1830.462,1830.587,0.52,1005.84,5.32
8,2023-01-03 03:00:00,1838.398,1838.523,22.41,1050.15,27.73
9,2023-01-03 03:30:00,1841.64,1841.765,3.12,1033.97,30.85
10,2023-01-03 04:00:00,1841.191,1841.316,-0.57,1030.28,30.85
11,2023-01-03 04:30:00,1841.124,1841.249,-0.83,1030.02,30.85
12,2023-01-03 05:00:00,1840.348,1840.473,-3.29,1027.57,30.85
13,2023-01-03 05:30:00,1838.099,1838.224,-12.41,1018.44,30.85
14,2023-01-03 06:00:00,1840.414,1840.539,-0.96,1032.08,33.04
15,2023-01-03 06:30:00,1841.892,1842.017,4.12,1041.28,37.16
16,2023-01-03 07:00:00,1842.007,1842.132,-0.01,1037.15,37.16
17,2023-01-03 07:30:00,1847.269,1847.394,10.39,1057.94,47.55
18,2023-01-03 08:00:00,1847.532,1847.657,0.14,1047.82,47.69
19,2023-01-03 08:30:00,1840.616,1840.741,-7.04,1040.65,47.69
20,2023-01-03 09:00:00,1836.155,1836.28,-16.09,1031.6,47.69
21,2023-01-03 09:30:00,1841.376,1841.501,-0.55,1052.87,53.42
22,2023-01-03 10:00:00,1838.82,1838.945,-11.52,1041.9,53.42
23,2023-01-03 10:30:00,1837.99,1838.115,-14.13,1039.29,53.42
24,2023-01-03 11:00:00,1834.475,1834.6,-28.32,1025.1,53.42
25,2023-01-03 11:30:00,1833.136,1833.261,-35.14,1018.28,53.42
26,2023-01-03 12:00:00,1833.164,1833.289,-35.09,1018.32,53.42
27,2023-01-03 12:30:00,1835.409,1835.534,-19.5,1038.99,58.5
28,2023-01-03 13:00:00,1834.599,1834.724,-28.76,1029.74,58.5
29,2023-01-03 13:30:00,1838.921,1839.046,-2.95,1063.94,66.89
30,2023-01-03 14:00:00,1838.862,1838.987,-11.7,1055.18,66.89
31,2023-01-03 14:30:00,1841.236,1841.361,0.04,1073.66,73.62
32,2023-01-03 15:00:00,1844.879,1845.004,4.12,1084.63,80.51
33,2023-01-03 15:30:00,1833.578,1833.703,-25.5,1055.01,80.51
34,2023-01-03 16:00:00,1833.208,1833.333,-26.74,1053.77,80.51
35,2023-01-03 16:30:00,1830.015,1830.14,-39.64,1040.87,80.51
36,2023-01-03 17:00:00,1834.293,1834.418,-18.37,1067.84,86.21
37,2023-01-03 17:30:00,1837.325,1837.45,-15.1,1074.02,89.12
38,2023-01-03 18:00:00,1839.265,1839.39,-12.32,1078.62,90.94
39,2023-01-03 18:30:00,1840.133,1840.258,-11.65,1080.03,91.68
40,2023-01-03 19:00:00,1838.872,1838.997,-16.3,1075.38,91.68
41,2023-01-03 19:30:00,1837.133,1837.258,-23.38,1068.3,91.68
42,2023-01-03 20:00:00,1839.082,1839.207,-13.76,1079.82,93.59
43,2023-01-03 20:30:00,1838.393,1838.518,-18.55,1075.03,93.59
44,2023-01-03 21:00:00,1838.172,1838.297,-19.78,1073.8,93.59
45,2023-01-03 21:30:00,1839.389,1839.514,-12.61,1083.13,95.73
46,2023-01-03 23:00:00,1838.755,1838.88,-17.41,1078.32,95.73
47,2023-01-03 23:30:00,1837.999,1838.124,-21.32,1074.42,95.73
48,2023-01-04 00:00:00,1836.539,1836.664,-30.2,1065.53,95.73
49,2023-01-04 00:30:00,1837.845,1837.97,-21.19,1075.73,96.91
50,2023-01-04 01:00:00,1838.68,1838.805,-16.65,1081.53,98.18
51,2023-01-04 01:30:00,1839.938,1840.063,-10.49,1090.31,100.8
52,2023-01-04 02:00:00,1844.355,1844.48,4.44,1113.62,109.18
53,2023-01-04 02:30:00,1844.456,1844.581,-3.77,1105.41,109.18
54,2023-01-04 03:00:00,1845.801,1845.926,1.48,1114.0,112.52
55,2023-01-04 03:30:00,1845.662,1845.787,-2.26,1110.26,112.52
56,2023-01-04 04:00:00,1845.661,1845.786,-2.39,1110.14,112.52
57,2023-01-04 04:30:00,1845.88,1846.005,-1.64,1111.07,112.71
58,2023-01-04 05:00:00,1846.635,1846.76,0.32,1114.36,114.05
59,2023-01-04 05:30:00,1844.857,1844.982,-4.7,1109.34,114.05
60,2023-01-04 06:00:00,1846.372,1846.497,-0.28,1115.16,115.44
61,2023-01-04 06:30:00,1848.481,1848.606,4.53,1124.5,119.97
62,2023-01-04 07:00:00,1847.916,1848.041,-0.69,1119.28,119.97
63,2023-01-04 07:30:00,1852.995,1853.12,9.34,1138.65,129.31
64,2023-01-04 08:00:00,1858.275,1858.4,5.16,1139.62,134.47
65,2023-01-04 08:30:00,1863.822,1863.947,5.42,1145.31,139.89
66,2023-01-04 09:00:00,1859.944,1860.069,-4.0,1135.88,139.89
67,2023-01-04 09:30:00,1861.666,1861.791,-0.68,1140.8,141.48
68,2023-01-04 10:00:00,1860.547,1860.672,-4.64,1136.84,141.48
69,2023-01-04 10:30:00,1858.021,1858.146,-12.35,1129.14,141.48
70,2023-01-04 11:00:00,1858.833,1858.958,-9.22,1132.95,142.17
71,2023-01-04 11:30:00,1860.284,1860.409,-4.23,1139.27,143.5
72,2023-01-04 12:00:00,1860.175,1860.3,-6.12,1137.38,143.5
73,2023-01-04 12:30:00,1855.167,1855.292,-31.28,1112.21,143.5
74,2023-01-04 13:00:00,1853.599,1853.724,-40.82,1102.68,143.5
75,2023-01-04 13:30:00,1859.183,1859.308,-1.85,1150.99,152.85
76,2023-01-04 14:00:00,1860.064,1860.189,-6.04,1147.56,153.6
77,2023-01-04 14:30:00,1858.026,1858.151,-19.15,1134.45,153.6
78,2023-01-04 15:00:00,1857.051,1857.176,-26.1,1127.5,153.6
79,2023-01-04 15:30:00,1856.326,1856.451,-32.03,1121.58,153.6
80,2023-01-04 16:00:00,1857.763,1857.888,-19.22,1136.28,155.5
81,2023-01-04 16:30:00,1856.536,1856.661,-31.06,1124.44,155.5
82,2023-01-04 17:00:00,1858.578,1858.703,-12.81,1145.73,158.54
83,2023-01-04 17:30:00,1856.038,1856.163,-33.74,1124.79,158.54
84,2023-01-04 18:00:00,1850.477,1850.602,-78.36,1080.18,158.54
85,2023-01-04 18:30:00,1852.889,1853.014,-56.78,1104.05,160.82
86,2023-01-04 19:00:00,1850.556,1850.681,-80.18,1080.64,160.82
87,2023-01-04 19:30:00,1850.879,1851.004,-77.08,1083.94,161.02
88,2023-01-04 20:00:00,1852.465,1852.59,-61.54,1100.94,162.48
89,2023-01-04 20:30:00,1853.975,1854.1,-48.03,1116.8,164.83
90,2023-01-04 21:00:00,1855.343,1855.468,-38.19,1127.88,166.07
91,2023-01-04 21:30:00,1854.924,1855.049,-43.33,1122.74,166.07
